epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.061,0.89758,0.56124,1.2121,0.99026,1,0.995,0.796,0.94011,0.29946,1.38054,2.69784e-05,2.69784e-05,2.69784e-05
2,688.458,0.91127,0.58179,1.21969,0.94164,1,0.995,0.76283,1.08059,0.44533,1.52306,5.29096e-05,5.29096e-05,5.29096e-05
3,1009.88,0.93036,0.63279,1.23378,1,1,0.995,0.796,0.9283,0.38467,1.39387,7.77716e-05,7.77716e-05,7.77716e-05
4,1347.2,0.93124,0.63535,1.23633,1,1,0.995,0.796,1.02896,0.53352,1.48658,7.61886e-05,7.61886e-05,7.61886e-05
5,1679.12,0.92855,0.62695,1.23191,0.96711,1,0.995,0.76283,0.93358,0.39931,1.3655,7.45848e-05,7.45848e-05,7.45848e-05
6,2011.54,0.92724,0.61168,1.23331,1,1,0.995,0.796,0.93494,0.3746,1.50452,7.2981e-05,7.2981e-05,7.2981e-05
7,2350.21,0.91321,0.5943,1.22735,1,1,0.995,0.76283,0.98066,0.42276,1.53609,7.13772e-05,7.13772e-05,7.13772e-05
8,2681.78,0.89851,0.5749,1.21808,1,1,0.995,0.796,0.95074,0.40601,1.52811,6.97734e-05,6.97734e-05,6.97734e-05
9,3011.21,0.90039,0.57009,1.21311,1,1,0.995,0.796,0.90612,0.35609,1.3995,6.81696e-05,6.81696e-05,6.81696e-05
10,3340.14,0.88994,0.56788,1.20824,0.97617,1,0.995,0.82917,0.91855,0.39192,1.37498,6.65658e-05,6.65658e-05,6.65658e-05
11,3669.31,0.88714,0.54913,1.20558,0.96797,1,0.995,0.76283,0.99858,0.37288,1.47624,6.4962e-05,6.4962e-05,6.4962e-05
12,3998.81,0.87519,0.54959,1.20291,1,1,0.995,0.796,0.97717,0.36913,1.43826,6.33582e-05,6.33582e-05,6.33582e-05
13,4327.84,0.87271,0.53793,1.20201,1,1,0.995,0.796,0.9102,0.31544,1.41508,6.17544e-05,6.17544e-05,6.17544e-05
14,4657,0.86152,0.53048,1.19491,0.99024,1,0.995,0.76283,1.01978,0.39363,1.56744,6.01506e-05,6.01506e-05,6.01506e-05
15,4974.8,0.86141,0.52326,1.19307,1,1,0.995,0.796,0.95785,0.4326,1.4051,5.85468e-05,5.85468e-05,5.85468e-05
16,5310.12,0.84816,0.50841,1.18702,1,1,0.995,0.796,0.93996,0.42672,1.33094,5.6943e-05,5.6943e-05,5.6943e-05
17,5649.44,0.84892,0.50744,1.18542,1,1,0.995,0.82917,0.82874,0.3305,1.2148,5.53392e-05,5.53392e-05,5.53392e-05
18,5985.93,0.84335,0.49992,1.17941,1,1,0.995,0.76283,1.0426,0.36762,1.57083,5.37354e-05,5.37354e-05,5.37354e-05
19,6315.69,0.8502,0.50224,1.18221,1,1,0.995,0.76283,1.07323,0.36492,1.68951,5.21316e-05,5.21316e-05,5.21316e-05
20,6645.31,0.87228,0.52344,1.19582,1,1,0.995,0.76283,1.15374,0.37986,1.6084,5.05278e-05,5.05278e-05,5.05278e-05
21,6974.51,0.86147,0.51222,1.1898,1,1,0.995,0.76283,1.04243,0.32641,1.49921,4.8924e-05,4.8924e-05,4.8924e-05
22,7304.28,0.85789,0.50302,1.19133,1,1,0.995,0.72967,1.09664,0.34262,1.6545,4.73202e-05,4.73202e-05,4.73202e-05
23,7634.25,0.84704,0.49378,1.17654,1,1,0.995,0.76283,0.98751,0.33345,1.43248,4.57164e-05,4.57164e-05,4.57164e-05
24,7963.92,0.84911,0.50227,1.18589,1,1,0.995,0.82917,0.81547,0.31979,1.26067,4.41126e-05,4.41126e-05,4.41126e-05
25,8293.19,0.8415,0.48658,1.17806,1,1,0.995,0.796,0.95429,0.32891,1.51146,4.25088e-05,4.25088e-05,4.25088e-05
26,8612.94,0.84294,0.47915,1.17908,1,1,0.995,0.82917,0.88276,0.30422,1.37104,4.0905e-05,4.0905e-05,4.0905e-05
27,8932.25,0.8364,0.47053,1.17946,1,1,0.995,0.796,0.97548,0.29828,1.43193,3.93012e-05,3.93012e-05,3.93012e-05
28,9250.73,0.83497,0.47177,1.1731,1,1,0.995,0.82917,0.91232,0.28732,1.36383,3.76974e-05,3.76974e-05,3.76974e-05
29,9569.54,0.8243,0.46248,1.16746,1,1,0.995,0.82917,0.84833,0.27186,1.25821,3.60936e-05,3.60936e-05,3.60936e-05
30,9888.47,0.8218,0.45465,1.16213,1,1,0.995,0.796,0.83375,0.27357,1.28581,3.44898e-05,3.44898e-05,3.44898e-05
31,10207.1,0.81031,0.45599,1.15815,1,1,0.995,0.796,0.82441,0.27109,1.25279,3.2886e-05,3.2886e-05,3.2886e-05
32,10525.4,0.81416,0.4478,1.15833,1,1,0.995,0.82917,0.86462,0.30649,1.32229,3.12822e-05,3.12822e-05,3.12822e-05
33,10843.5,0.81075,0.44834,1.15846,1,1,0.995,0.76283,0.9977,0.29624,1.47157,2.96784e-05,2.96784e-05,2.96784e-05
34,11161.8,0.79532,0.44403,1.15019,1,1,0.995,0.76283,1.0023,0.29853,1.44936,2.80746e-05,2.80746e-05,2.80746e-05
